Account_ID,Customer_ID, Card_Number 
ACC00001,CUST00963,"8,27,00,00,00,000"
ACC00002,CUST01476,"5,51,00,00,00,000"
ACC00003,CUST00019,"4,62,00,00,00,000"
ACC00004,CUST00761,"3,60,00,00,00,000"
ACC00005,CUST00019,"9,17,00,00,00,000"
ACC00006,CUST00019,"6,05,00,00,00,000"
ACC00007,CUST00469,"4,42,00,00,00,000"
ACC00008,CUST01183,"9,80,00,00,00,000"
ACC00009,CUST00019,"6,48,00,00,00,000"
ACC00010,CUST00019,"9,15,00,00,00,000"
ACC00011,CUST00035,"2,47,00,00,00,000"
ACC00012,CUST01112,"6,08,00,00,00,000"
ACC00013,CUST00019,"6,84,00,00,00,000"
ACC00014,CUST00201,"3,19,00,00,00,000"
ACC00015,CUST00019,"8,82,00,00,00,000"
ACC00016,CUST01875,"9,08,00,00,00,000"
ACC00017,CUST01954,"1,05,00,00,00,000"
ACC00018,CUST00019,"9,36,00,00,00,000"
ACC00019,CUST01661,"4,91,00,00,00,000"
ACC00020,CUST00656,"4,72,00,00,00,000"
ACC00021,CUST00240,"8,12,00,00,00,000"
ACC00022,CUST01806,"4,46,00,00,00,000"
ACC00023,CUST00138,"7,06,00,00,00,000"
ACC00024,CUST01688,"2,68,00,00,00,000"
ACC00025,CUST00498,"1,44,00,00,00,000"
ACC00026,CUST01322,"5,99,00,00,00,000"
ACC00027,CUST01249,"7,00,00,00,00,000"
ACC00028,CUST00019,"8,99,00,00,00,000"
ACC00029,CUST00254,"7,37,00,00,00,000"
ACC00030,CUST01739,"4,20,00,00,00,000"
ACC00031,CUST00019,"9,19,00,00,00,000"
ACC00032,CUST01591,"6,48,00,00,00,000"
ACC00033,CUST01441,"1,40,00,00,00,000"
ACC00034,CUST00019,"4,04,00,00,00,000"
ACC00035,CUST01402,"6,90,00,00,00,000"
ACC00036,CUST00594,"2,62,00,00,00,000"
ACC00037,CUST01385,"2,81,00,00,00,000"
ACC00038,CUST00019,"3,01,00,00,00,000"
ACC00039,CUST01817,"7,06,00,00,00,000"
ACC00040,CUST00220,"7,77,00,00,00,000"
ACC00041,CUST01032,"2,45,00,00,00,000"
ACC00042,CUST00992,"5,49,00,00,00,000"
ACC00043,CUST01199,"5,43,00,00,00,000"
ACC00044,CUST00019,"1,89,00,00,00,000"
ACC00045,CUST01710,"6,88,00,00,00,000"
ACC00046,CUST00900,"7,39,00,00,00,000"
ACC00047,CUST01958,"3,31,00,00,00,000"
ACC00048,CUST00496,"8,93,00,00,00,000"
ACC00049,CUST00657,"7,37,00,00,00,000"
ACC00050,CUST01166,"2,21,00,00,00,000"
ACC00051,CUST01812,"5,93,00,00,00,000"
ACC00052,CUST00019,"8,15,00,00,00,000"
ACC00053,CUST00794,"1,44,00,00,00,000"
ACC00054,CUST01366,"5,64,00,00,00,000"
ACC00055,CUST00382,"3,28,00,00,00,000"
ACC00056,CUST01289,"2,66,00,00,00,000"
ACC00057,CUST00112,"9,86,00,00,00,000"
ACC00058,CUST00675,"6,08,00,00,00,000"
ACC00059,CUST00305,"1,12,00,00,00,000"
ACC00060,CUST00019,"1,82,00,00,00,000"
ACC00061,CUST01174,"3,94,00,00,00,000"
ACC00062,CUST00019,"2,64,00,00,00,000"
ACC00063,CUST00948,"5,52,00,00,00,000"
ACC00064,CUST00937,"6,41,00,00,00,000"
ACC00065,CUST00019,"5,33,00,00,00,000"
ACC00066,CUST00019,"7,82,00,00,00,000"
ACC00067,CUST00836,"4,49,00,00,00,000"
ACC00068,CUST00019,"9,62,00,00,00,000"
ACC00069,CUST00196,"4,72,00,00,00,000"
ACC00070,CUST00019,"1,40,00,00,00,000"
ACC00071,CUST00452,"9,14,00,00,00,000"
ACC00072,CUST00645,"3,49,00,00,00,000"
ACC00073,CUST00019,"3,72,00,00,00,000"
ACC00074,CUST01065,"6,82,00,00,00,000"
ACC00075,CUST00240,"2,59,00,00,00,000"
ACC00076,CUST00861,"8,11,00,00,00,000"
ACC00077,CUST00019,"2,90,00,00,00,000"
ACC00078,CUST00019,"3,07,00,00,00,000"
ACC00079,CUST01009,"4,28,00,00,00,000"
ACC00080,CUST00019,"6,49,00,00,00,000"
ACC00081,CUST01515,"6,92,00,00,00,000"
ACC00082,CUST00019,"1,54,00,00,00,000"
ACC00083,CUST00389,"9,61,00,00,00,000"
ACC00084,CUST01582,"3,95,00,00,00,000"
ACC00085,CUST00372,"1,04,00,00,00,000"
ACC00086,CUST00019,"6,98,00,00,00,000"
ACC00087,CUST00549,"2,65,00,00,00,000"
ACC00088,CUST01399,"1,76,00,00,00,000"
ACC00089,CUST00147,"8,98,00,00,00,000"
ACC00090,CUST01270,"6,32,00,00,00,000"
ACC00091,CUST00019,"4,37,00,00,00,000"
ACC00092,CUST01737,"4,98,00,00,00,000"
ACC00093,CUST00282,"2,26,00,00,00,000"
ACC00094,CUST00019,"8,36,00,00,00,000"
