Customer_ID,First_Name,Last_Name,middle_name,full_customer_name,Gender,Date_of_Birth,Marital_Status,Phone_Number,Alternate_Mobile_number,Email,Address,City,State,Postal_Code,Employment_Status,Occupation,Annual_Income,Customer_Segment,KYC_Verified,Risk_Category,Joined_Date,Last_Updated_Date,nationality_code,resident_status,permanent_country_code,correspondence_address_line1,correspondence_city,correspondence_postal_code,relationship_manager_code
CUST00001,Margaret,Johnson,Lee,Margaret Lee Johnson,Other,1/29/1968,Single,80433218196,81533319197,margaret.johnson@example.com,"600 Jeffery Parkways, New Jamesside, IN 59379",East Donald,Connecticut,59379,Employed,Accounting technician,34967.14,SME,Yes,Medium,4/2/2024,7/19/2024,IN,Resident,CA,,,,RM5202
CUST00002,Peter,Moore,Kumar,Peter Kumar Moore,Male,2/14/1978,Single,98908386379,99919397379,peter.moore@example.com,"55940 Herrera Lane Apt. 849, Barbaraland, TN 30372",Joshuaborough,Wisconsin,30372,Employed,Cartographer,28617.36,Retail,Yes,Low,8/23/2024,10/18/2024,NG,Resident,FR,,,,RM9925
CUST00003,Savannah,Delacruz,Jean,Savannah Jean Delacruz,Other,3/26/1975,Married,95423511615,95533511715,savannah.delacruz@example.com,"192 Frank Light Suite 835, East Lydiamouth, KY 09176",Shawnstad,Hawaii,9176,Unemployed,Unemployed,2222,Retail,Yes,Low,6/13/2023,8/26/2024,FR,Non-Resident,KE,9 Green Park,Sydney,901440,RM3713
CUST00004,Christy,Porter,Ali,Christy Ali Porter,Other,2/9/1993,Married,98161849593,99171959593,christy.porter@example.com,"969 Cox Dam Suite 101, Lake Ernest, NE 78673",Thomasberg,Kansas,78673,Employed,Museum/gallery curator,37674.35,SME,Yes,High,2/19/2023,12/14/2023,GB,NRI,ZA,78 Market Road,Paris,457722,RM5635
CUST00005,Linda,Mcdonald,Marie,Linda Marie Mcdonald,Female,6/21/1966,Single,93164752553,93175753553,linda.mcdonald@example.com,"46270 Stanton Track Apt. 814, East Nathaniel, ND 70015",Lake Jenniferside,Wisconsin,70015,Employed,Tour manager,24191.22,Retail,Yes,Low,12/14/2024,12/14/2024,AU,Resident,AU,,,,RM9934
CUST00006,Erika,Smith,James,Erika James Smith,Other,1/23/1974,Divorced,93276483503,93377593513,erika.smith@example.com,"82278 Joseph Well Suite 383, Raymondstad, NC 59678",Johnbury,Oregon,59678,Unemployed,Unemployed,3333,Retail,No,Medium,4/4/2023,10/13/2023,FR,Non-Resident,US,123 Main Street,London,819761,RM7482
CUST00007,Amy,Smith,Ahmed,Amy Ahmed Smith,Female,1/21/1987,Single,93953767242,93953777353,amy.smith@example.com,"05183 Caldwell Forest, Lake Selena, OK 62454",New Jeffrey,California,62454,Unemployed,Homemaker,5000,Retail,No,Medium,7/8/2023,7/9/2024,IN,Non-Resident,IN,22 Rosewood Lane,London,816664,RM7488
CUST00008,Cheryl,Davis,Grace,Cheryl Grace Davis,Other,9/11/1978,Married,95328710122,95339711133,cheryl.davis@example.com,"65133 Amanda Dam, Whitemouth, CA 58583",Rodneymouth,Washington,58583,Employed,Arts administrator,24377.12,Retail,No,Low,9/19/2024,10/8/2024,FR,Non-Resident,GB,9 Green Park,Lagos,309959,RM3946
CUST00009,Marissa,Fernandez,Ali,Marissa Ali Fernandez,Female,5/14/1950,Divorced,97848018451,97959119551,marissa.fernandez@example.com,"26064 Mitchell Square Suite 234, North Beth, AR 98539",Port Melindaburgh,Nebraska,98539,Retired,Arts administrator,16483.28,Retail,Yes,Medium,9/1/2023,10/15/2023,FR,Non-Resident,ZA,45 Hilltop Ave,London,361712,RM7362
CUST00010,Lauren,Shaw,Singh,Lauren Singh Shaw,Female,7/4/1985,Single,94828148932,95939159933,lauren.shaw@example.com,"361 Beth Canyon, South Dianeshire, MD 34680",North Susan,Colorado,34680,Self-employed,Interior and spatial designer,7207.59,SME,Yes,Medium,6/8/2023,11/9/2024,GB,Non-Resident,IN,22 Rosewood Lane,Toronto,684805,RM7694
CUST00011,Cynthia,Foster,Marie,Cynthia Marie Foster,Other,1/26/1995,Married,97015430391,97115531391,cynthia.foster@example.com,"83842 Ibarra Gardens, Justinmouth, ND 92715",Stephenland,Alabama,92715,Retired,Seismic interpreter,17278.09,Retail,Yes,Medium,8/23/2023,12/10/2024,AU,Resident,DE,,,,RM8715
CUST00012,Aimee,Montoya,James,Aimee James Montoya,Other,9/26/1969,Single,70782489638,71793599739,aimee.montoya@example.com,"353 Wagner Glen Apt. 164, North Matthewberg, KS 21679",East Josephville,West Virginia,21679,Unemployed,Unemployed,4444,Retail,No,Low,7/29/2024,10/22/2024,NG,Non-Resident,AU,45 Hilltop Ave,Mumbai,586620,RM4610
CUST00013,Michele,Hoffman,Anne,Michele Anne Hoffman,Other,12/22/1956,Divorced,95787133150,95797133151,michele.hoffman@example.com,"2045 Rachel Fords, Lake Curtis, OH 53765",Lake Rebeccaside,Arizona,53765,Self-employed,Fast food restaurant manager,37987.23,Corporate,Yes,Low,4/27/2024,6/26/2024,KE,Non-Resident,KE,45 Hilltop Ave,Mumbai,818971,RM7977
CUST00014,Sean,Cherry,Ahmed,Sean Ahmed Cherry,Male,5/30/1961,Single,80310518347,81311519357,sean.cherry@example.com,"2160 Walker Viaduct, Baileybury, AK 87012",Johnsonmouth,Nebraska,87012,Self-employed,Land/geomatics surveyor,44166.13,SME,No,Low,5/31/2023,4/4/2024,CA,Non-Resident,NG,22 Rosewood Lane,London,529512,RM7821
CUST00015,Donald,Jones,Singh,Donald Singh Jones,Male,12/27/2001,Married,96311656670,97311757771,donald.jones@example.com,"Unit 8501 Box 4294, DPO AE 14709",Michaelhaven,Montana,14709,Employed,Location manager,38225.45,Retail,No,Medium,4/8/2024,9/23/2024,US,NRI,CA,123 Main Street,Cape Town,326321,RM8360
CUST00016,Monica,Edwards,Ali,Monica Ali Edwards,Other,8/13/1990,Married,90333872624,91333973735,monica.edwards@example.com,"835 Jones Shores, Cindyville, ME 66970",South Rachelborough,Kentucky,66970,Self-employed,"Journalist, newspaper",25583.13,SME,Yes,Low,8/29/2023,7/11/2024,CA,Resident,FR,,,,RM2437
CUST00017,Jennifer,Phillips,Ahmed,Jennifer Ahmed Phillips,Female,1/9/1958,Divorced,90080132677,91191133777,jennifer.phillips@example.com,"946 Kevin Fords, Floydmouth, NV 58455",South Elizabeth,Missouri,58455,Retired,Sales promotion account executive,23692.33,Retail,Yes,Low,6/8/2024,8/29/2024,DE,NRI,NG,78 Market Road,New York,458389,RM4748
CUST00018,John,Santana,Kumar,John Kumar Santana,Male,7/14/2003,Married,80647468723,81757579733,john.santana@example.com,"34332 Brandon Mountains Apt. 769, Lake Heather, MO 32480",Lake Christopher,North Carolina,32480,Self-employed,"Accountant, chartered public finance",53427.37,SME,Yes,Low,4/25/2023,9/15/2024,CA,Non-Resident,AU,45 Hilltop Ave,New York,655266,RM1747
CUST00019,Stephanie,Dalton,Marie,Stephanie Marie Dalton,Other,8/13/1956,Divorced,98050097882,99151197993,stephanie.dalton@example.com,"2788 Dodson Mills, Rivasside, GA 97973",Robinsonhaven,New Jersey,97973,Employed,"Production assistant, television",19909.15,Retail,Yes,High,10/31/2024,12/16/2024,DE,Resident,GB,,,,RM3183
CUST00020,David,Wright,Marie,David Marie Wright,Male,10/3/1992,Divorced,90361939909,91371939919,david.wright@example.com,"43455 Devon Fort Suite 231, Russellside, MT 08662",Katiehaven,New York,8662,Retired,Neurosurgeon,12083.53,Retail,No,Low,6/10/2023,5/1/2024,DE,Resident,NG,,,,RM8315
CUST00021,Summer,Silva,Anne,Summer Anne Silva,Female,9/10/1996,Single,95346247510,95357357511,summer.silva@example.com,"6688 Tracy Groves Suite 706, Elizabethfurt, GA 61762",Port Nicoleshire,Missouri,61762,Employed,Writer,33436.18,Retail,Yes,High,12/15/2024,12/18/2024,ZA,Non-Resident,GB,9 Green Park,London,202744,RM3127
CUST00022,Kimberly,Meadows,Kumar,Kimberly Kumar Meadows,Other,8/22/1989,Single,98425135427,99535135537,kimberly.meadows@example.com,"3755 Ramirez Village Suite 417, Lake Amberstad, SD 09494",North Dawnberg,New Jersey,9494,Unemployed,Unemployed,5555,Retail,Yes,Low,8/29/2024,9/5/2024,US,NRI,IN,22 Rosewood Lane,Lagos,807527,RM5467
CUST00023,Tiffany,Gonzalez,Jean,Tiffany Jean Gonzalez,Other,10/1/1950,Divorced,94124118244,95135119355,tiffany.gonzalez@example.com,"4529 Kimberly Estates, Danieltown, OK 89282",East David,Texas,89282,Self-employed,Occupational psychologist,61642.46,Corporate,No,Medium,12/6/2024,12/24/2024,US,Non-Resident,FR,9 Green Park,Mumbai,829075,RM4759
CUST00024,Todd,Gonzalez,Marie,Todd Marie Gonzalez,Male,8/27/1989,D,94874016400,95975117511,todd.gonzalez@example.com,"058 Stanley Cliff, Alexanderchester, NM 14334",North Heidi,Maryland,14334,Self-employed,Psychiatric nurse,67754.97,SME,No,Low,12/3/2023,9/9/2024,FR,NRI,IN,78 Market Road,Lagos,373779,RM4272
CUST00025,Michael,Graham,Anne,Michael Anne Graham,Male,4/19/1999,D,97868011280,97979111391,michael.graham@example.com,"3147 Karen Port Suite 507, Hunterborough, KS 45109",Christinaside,Wyoming,45109,Self-employed,Health and safety adviser,19836.93,SME,No,Low,8/6/2023,11/11/2024,FR,Non-Resident,KE,123 Main Street,New York,342482,RM5202
CUST00026,Justin,Black,Kumar,Justin Kumar Black,Male,5/13/1962,Single,94505331586,95515331597,justin.black@example.com,"770 Kelly Lodge Apt. 495, Transtad, WA 72641",East Jenniferfort,Oklahoma,72641,Self-employed,Professor Emeritus,71992.94,SME,Yes,Medium,9/14/2023,6/13/2024,US,NRI,KE,22 Rosewood Lane,Lagos,831515,RM9925
CUST00027,Devin,King,Ali,Devin Ali King,Male,7/28/1957,Single,96025634216,97135735317,devin.king@example.com,"749 Hooper Village, West Jeremy, ME 02355",West David,Ohio,2355,Retired,Computer games developer,24173.98,Retail,Yes,Low,7/3/2024,10/14/2024,US,Resident,GB,,,,RM3713
